url,title,h1,meta_description,canonical,image_count,page_json,page_type
https://oakfarm.vn/mo-hinh-farm-stay/,Ưu điểm mô hình farmstay - Oak Farm,Ưu điểm mô hình Farmstay,Mô hình farmstay xuất hiện lần đầu tại Italia và sau đó được ưa chuộng và lan rộng ra khắp thế giới trong đó có cả Việt Nam,https://oakfarm.vn/mo-hinh-farm-stay/,4,/Users/bephi/data/oakfarm_full_output/pages/mo-hinh-farm-stay.json,pages
https://oakfarm.vn/farmstay-homestay-la-gi/,"Farmstay, homestay là gì? - Oak Farm","Farmstay, homestay là gì?","Oak Farm sẽ phân tích và tổng hợp định nghĩa farmstay, homestay cho các bạn một cách ngắn gọn và dễ hình dung nhất.",https://oakfarm.vn/farmstay-homestay-la-gi/,6,/Users/bephi/data/oakfarm_full_output/pages/farmstay-homestay-la-gi.json,pages
https://oakfarm.vn/sample-page/,Sample Page - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/sample-page/,4,/Users/bephi/data/oakfarm_full_output/pages/sample-page.json,pages
https://oakfarm.vn/my-account/,My account - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/my-account/,4,/Users/bephi/data/oakfarm_full_output/pages/my-account.json,pages
https://oakfarm.vn/services-1/,Services 1 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/services-1/,9,/Users/bephi/data/oakfarm_full_output/pages/services-1.json,pages
https://oakfarm.vn/services-2/,Services 2 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/services-2/,4,/Users/bephi/data/oakfarm_full_output/pages/services-2.json,pages
https://oakfarm.vn/services-3/,Services 3 - Oak Farm,Wide Variety of Gardening Services,,https://oakfarm.vn/services-3/,9,/Users/bephi/data/oakfarm_full_output/pages/services-3.json,pages
https://oakfarm.vn/projects-2/,Projects 2 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/projects-2/,13,/Users/bephi/data/oakfarm_full_output/pages/projects-2.json,pages
https://oakfarm.vn/projects-3/,Projects 3 - Oak Farm,Projects 3,,https://oakfarm.vn/projects-3/,10,/Users/bephi/data/oakfarm_full_output/pages/projects-3.json,pages
https://oakfarm.vn/our-team-1/,Our Team 1 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/our-team-1/,10,/Users/bephi/data/oakfarm_full_output/pages/our-team-1.json,pages
https://oakfarm.vn/our-team-2/,Our Team 2 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/our-team-2/,10,/Users/bephi/data/oakfarm_full_output/pages/our-team-2.json,pages
https://oakfarm.vn/our-pricing-1/,Our Pricing 1 - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/our-pricing-1/,6,/Users/bephi/data/oakfarm_full_output/pages/our-pricing-1.json,pages
https://oakfarm.vn/maintenance-page/,Maintenance Page - Oak Farm,Our Website is Coming soon.,,https://oakfarm.vn/maintenance-page/,5,/Users/bephi/data/oakfarm_full_output/pages/maintenance-page.json,pages
https://oakfarm.vn/chung-toi/,Chúng tôi - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/chung-toi/,15,/Users/bephi/data/oakfarm_full_output/pages/chung-toi.json,pages
https://oakfarm.vn/bao-gia-thiet-ke-farm/,Báo giá thiết kế Farm - Oak Farm,Giới thiệu về chúng tôi,"Báo giá thiết kế Farm chuẩn nhất. Chỉ cần điền thông tin theo mẫu, các bạn sẽ có ngay báo giá cụ thể theo từng giai đoạn thiết kế Farm",https://oakfarm.vn/bao-gia-thiet-ke-farm/,4,/Users/bephi/data/oakfarm_full_output/pages/bao-gia-thiet-ke-farm.json,pages
